"id","name","run","phone","created_at","updated_at"
"54","Miscelanea","11.111.111-1","(111) 111-1111","2020-07-08 18:15:44","2020-07-08 18:15:44"
"55","ZARGO","76.262.234-3","(052) 846-4910","2020-07-14 13:03:41","2020-07-14 13:03:41"
"56","Terraservice","96.755.590-8","(111) 111-1111","2020-11-11 18:18:41","2020-11-11 18:18:41"
"57","G4S","96.912.870-5","(052) 220-4254","2020-12-15 11:56:50","2020-12-15 11:56:50"
"58","Sociedad de Servicios MESUT","76.215.152-9","(052) 220-4429","2021-01-04 15:01:37","2021-01-04 15:01:37"
"59","Geoassay","76.040.561-2","(111) 111-1111","2021-01-06 11:48:46","2021-01-06 11:48:46"
"60","LLORENTE","81.426.700-8","(111) 111-1111","2021-01-12 16:30:49","2021-01-12 16:30:49"
"61","Ciencia Ambiental","76.019.465-4","(111) 111-1111","2021-01-12 16:41:13","2021-01-12 16:41:13"
"62","Komatsu Cummins Chile Ltda.","77.260.520-K","(052) 220-4423","2021-01-18 14:53:00","2021-01-18 14:53:00"
"63","nombre","11.111.111-1","(111) 111-1111","2021-02-04 11:34:29","2021-02-04 11:34:29"
"64","Ambiental y Sectorial","76.617.829-4","(111) 111-1111","2021-02-09 20:38:54","2021-02-09 20:38:54"
"65","ELECTRORAM","76.025.110-0","(111) 111-1111","2021-02-11 16:18:22","2021-02-11 16:18:22"
"66","COMPROBE","78.951.730-4","(111) 111-1111","2021-02-16 13:47:39","2021-02-16 13:47:39"
"67","FINNING CHILE","91.489.000-4","(229) 277-0000","2021-03-26 16:56:19","2021-03-26 16:56:19"
"68","Mantoverde S.A","77.020.457-7","(111) 111-1111","2021-04-14 17:18:47","2021-04-14 17:18:47"
"69","Mantoverde Proyecto de Desarrollo","21.212-1","(111) 111-1111","2021-07-19 11:50:12","2021-07-19 11:50:12"
"70","KUPFER","90.844.000-5","(111) 111-1111","2021-08-18 11:23:34","2021-08-18 11:23:34"
"71","TRANSJHURTADO SPA","76.107.863-1","(111) 111-1111","2021-09-15 11:29:29","2021-09-15 11:29:29"
"72","Wilson Carrizo Reciclaje EIRL ","77.071.385-4","(111) 111-1111","2021-11-04 14:44:19","2021-11-04 14:44:19"
"74","SOC. SERV. MESUT SPA","76.215.152-9","(052) 240-4423","2022-02-22 10:44:26","2022-02-22 10:44:26"
"75","KOMATSU","95.616.000-6","(111) 111-1111","2022-03-17 16:35:29","2022-03-17 16:35:29"
"76","GRUAS RIVADENEIRA","76.233.985-4","(111) 111-1111","2022-03-22 19:59:27","2022-03-22 19:59:27"
"77","Gruas ByC","76.146.887-1","(111) 111-1111","2022-03-31 18:07:44","2022-03-31 18:07:44"
"78","PROANORTE","76.455.577-5","(111) 111-1111","2022-04-07 17:42:14","2022-04-07 17:42:14"
"79","Turismo Rojas","8.359.876-K","(111) 111-1111","2022-04-07 17:45:38","2022-04-07 17:45:38"
"80","IMA Industrial SpA","88.689.100-8","(111) 111-1111","2022-06-08 10:51:23","2022-06-08 10:51:23"
"82","RESITER","89.696.400-3","(111) 111-1111","2022-08-01 17:04:04","2022-08-01 17:04:04"
"83","EMME CONSTRUCCIONES SPA","78.076.801-0","(569) 359-2409","2022-08-01 17:17:34","2025-06-18 11:20:51"
"84","TRANSMAT","76.270.521-4","(111) 111-1111","2022-10-17 16:33:08","2022-10-17 16:33:08"
"86","Llorente Industrial S.A.","81.426.700-8","(996) 289-1411","2022-10-26 11:35:18","2022-10-26 11:35:18"
"87","DINTEC CHILE","77.095.293-K","(111) 111-1111","2022-11-14 09:38:11","2022-11-14 09:38:11"
"88","RENEL","15.030.307-0","(111) 111-1111","2022-11-14 09:46:03","2022-11-14 09:46:03"
"89","TRANSCOM","79.904.920-1","(111) 111-1111","2022-11-16 09:36:32","2022-11-16 09:36:32"
"90","DYNO NOBEL","76.040.923-5","(569) 571-9498","2022-12-05 13:28:59","2022-12-05 13:28:59"
"91","VIGAL","96.849.540-2","(111) 111-1111","2022-12-05 21:40:08","2022-12-05 21:40:08"
"92","JOY GLOBAL","95.616.000-6","(111) 111-1111","2022-12-06 15:23:55","2022-12-06 15:23:55"
"93","Transmaq E.I.R.L.","76.184.224-2","(111) 111-1111","2022-12-13 17:11:37","2022-12-13 17:11:37"
"94","KYNDRYL","17.120.652-9","(111) 111-1111","2022-12-21 18:29:22","2022-12-21 18:29:22"
"95","MM PROJECTS","76.226.094-8","(111) 111-1111","2022-12-28 19:16:50","2022-12-28 19:16:50"
"96","TEASCHILE LIMITADA","76.215.052-2","(055) 228-9522","2023-02-15 12:29:56","2023-02-15 12:29:56"
"97","VEOLIA","77.441.870-9","(111) 111-1111","2023-02-22 20:26:22","2023-02-22 20:26:22"
"98","C y D Ingenieria","88.359.600-5","(111) 111-1111","2023-02-27 18:56:41","2023-02-27 18:56:41"
"99","ACHS","70.360.100-6","(111) 111-1111","2023-03-14 16:41:48","2023-03-14 16:41:48"
"100","AZA","92.176.000-0","(947) 362-7430","2023-04-21 09:21:36","2023-04-21 09:21:36"
"101","ICMAS SPA","76.696.393-5","(111) 111-1111","2023-04-26 15:41:56","2023-04-26 15:41:56"
"102","ESC SERVICIOS","76.956.630-9","(111) 111-1111","2023-05-03 20:31:21","2023-05-03 20:31:21"
"103","ESC SERVICIOS","76.956.630-9","(111) 111-1111","2023-05-03 20:31:22","2023-05-03 20:31:22"
"105","TRANSVERDE","76.499.730-1","(111) 111-1111","2023-05-17 15:34:55","2023-05-17 15:34:55"
"107","Transportes Casablanca S.A","11.111.111-1","(111) 111-1111","2023-05-25 11:06:20","2023-05-25 11:06:20"
"108","Voltta Ingeniería Eléctrica Spa","76.233.999-4","(111) 111-1111","2023-05-25 14:47:28","2023-05-25 14:47:28"
"109","TRANSPORTES CARMAR LTDA","78510360-2","(111) 111-1111","2023-06-01 16:01:43","2023-06-01 16:01:43"
"110","MDM TRANSPORTES Y GRUAS","76.001.251-3","(999) 100-659_","2023-06-29 06:53:56","2023-06-29 06:53:56"
"112","ALUVIAL","76.365.203-3","(111) 111-1111","2023-07-03 10:25:52","2023-07-03 10:25:52"
"113","FAM","77.683.790-3","(111) 111-1111","2023-07-10 12:11:33","2023-07-10 12:11:33"
"114","CESMEC S.A","81.185.000-4","(111) 111-1111","2023-07-13 13:34:40","2023-07-13 13:34:40"
"115","MGDL SpA","76.351.549-4","(111) 111-1111","2023-07-26 12:28:29","2023-07-26 12:28:29"
"116","SOCIEDAD ZUÑIGA E HIJOS SPA","77.711.419-0","(111) 111-1111","2023-07-26 12:31:24","2023-07-26 12:31:24"
"117","Capstonecopper","77.020.457-7","(111) 111-1111","2023-08-02 15:36:42","2023-08-02 15:36:42"
"118","SEBASTIAN FRANCISCO PEDREROS MONCADA INGENIERIA, CONSULTORA, INMOBILIARIA Y COMERCIALIZADORA E.I.R.L.","76.050.187-5","(111) 111-1111","2023-08-21 12:32:45","2023-08-21 12:32:45"
"119","TRANSPORTES  INFINITY","76.207.531-8","(111) 111-1111","2023-08-25 13:19:13","2023-08-25 13:19:13"
"120","Empresa de servicios externos achs","99.579.260-5","(111) 111-1111","2023-08-31 11:24:43","2023-08-31 11:24:43"
"121","Komatsu Chile S.A ","96.843.130-7","(111) 111-1111","2023-09-11 16:53:02","2023-09-11 16:53:02"
"122","WILUG MINERIA","77.183.916-9","(111) 111-1111","2023-09-26 16:48:29","2023-09-26 16:48:29"
"123","Atacama Tech SpA","76.300.628-k","(111) 111-1111","2023-10-19 16:55:39","2023-10-19 16:55:39"
"124","CAPSTONE COPPER","77.020.457-7","(565) 526-9300","2023-10-19 17:00:51","2023-10-19 17:00:51"
"126","MAQUINARIAS Y EQUIPOS HERRERA LIMITADA","76.040.561-2","(111) 111-1111","2023-11-01 12:10:42","2023-11-01 12:10:42"
"127","Distribuidora Cummins Chile S.A.","96.843.140-4","(094) 296-2509","2023-11-08 10:26:24","2023-11-08 10:26:24"
"128","ORPAK","76.309.298-4","(111) 111-1111","2023-11-20 17:20:50","2023-11-20 17:20:50"
"129","EVH Ingeniería","52.004.641-0","(569) 883-7156","2023-11-29 17:37:52","2023-11-29 17:37:52"
"130","BERMUDEZ Y CASTILLO SERVICE S.A","76.146.887-1","(111) 111-1111","2023-12-07 18:41:51","2023-12-07 18:41:51"
"132","TRANSPORTE CORPORATIVO INFINITY","76.207.531-8","(111) 111-1111","2023-12-07 18:54:34","2023-12-07 18:54:34"
"133","ELECTROFRIO LTDA","77.651.450-6","(111) 111-1111","2023-12-21 23:18:46","2023-12-21 23:18:46"
"134","MAXAM Chile S.A.","77.870.140-5","(569) 846-8212","2023-12-27 15:41:43","2023-12-27 15:41:43"
"135","SERMINCHO","76.231.611-0","(111) 111-1111","2023-12-28 15:49:30","2023-12-28 15:49:30"
"136","INVERSIONES TRT SPA.","77.677.109-0","(111) 111-1111","2024-01-03 11:20:07","2024-01-03 11:20:07"
"137","Mantoverde S.A.","77020457-7","(111) 111-1111","2024-01-08 22:40:38","2024-01-08 22:40:38"
"138","JOY GLOBAL S.A.","96.616.000-6","(111) 111-1111","2024-01-08 22:52:40","2024-01-08 22:52:40"
"139","SERVISOLD INDUSTRIAL","76.399.112-2","(111) 111-1111","2024-01-17 17:22:56","2024-01-17 17:22:56"
"140","JRVA","77.421.442-9","(111) 111-1111","2024-01-22 19:12:31","2024-01-22 19:12:31"
"142","ID CHILE SERVICIOS SPA","76.738.857-8","(111) 111-1111","2024-01-23 11:05:07","2024-01-23 11:05:07"
"143","MINTRAL","77.554.545-3","(111) 111-1111","2024-01-30 12:21:35","2024-01-30 12:21:35"
"144","SERLOG","96566940-k","(111) 111-1111","2024-02-09 17:36:14","2024-02-09 17:36:14"
"145","RESTEC","77.683.300-2","(562) 223-6251","2024-02-15 08:44:04","2024-02-15 08:44:04"
"146","EBL Servicios Industriales Integrales Limitada","76.048.531-4","(111) 111-1111","2024-02-22 19:53:08","2024-02-22 19:53:08"
"147","TUSAN","86.386.700-2","(111) 111-1111","2024-04-03 18:51:11","2024-04-03 18:51:11"
"148","JCM Ingenieria","76.005.567-0","(111) 111-1111","2024-04-04 18:32:01","2024-04-04 18:32:01"
"149","NEXXO S.A.","86.968.900-9","(111) 111-1111","2024-04-04 22:04:24","2024-04-04 22:04:24"
"150","FTF SERVICIOS S.A.","76.201.397-5","(111) 111-1111","2024-04-09 22:25:51","2024-04-09 22:25:51"
"151","BYF","76.823.557-0","(111) 111-1111","2024-04-22 12:43:55","2024-04-22 12:43:55"
"152","ZGA Spa","77.074.607-8","(111) 111-1111","2024-04-30 14:54:12","2024-04-30 14:54:12"
"153","GEOLAQUIM","76.835.020-5","(111) 111-1111","2024-04-30 15:48:29","2024-04-30 15:48:29"
"154","ICMAS","76.696.393-5","(111) 111-1111","2024-05-02 10:46:24","2024-05-02 10:46:24"
"155","Sociedad Maestranza Metalmecánica  Asmeco LTDA ","76.224.524-8","(569) 845-7249","2024-05-02 10:53:49","2024-08-08 13:05:07"
"156","Servicios Integrales y Operacionales Olivares SpA","77.140.505-3","(111) 111-1111","2024-05-08 15:42:20","2024-05-08 15:42:20"
"157","SEUR TRANSPORTES SPA","76771509-9","(111) 111-1111","2024-05-08 15:48:26","2024-05-08 15:48:26"
"158","GOHE INVERSIONES SPA","77196779-5","(111) 111-1111","2024-05-08 15:49:26","2024-05-08 15:49:26"
"159","COMERCIAL AGRICOLA Y TRANSPORTES TOLEDO GIANZO Y CIA. LTDA.","76103845-1","(111) 111-1111","2024-05-08 15:50:16","2024-05-08 15:50:16"
"160","MOVIMIENTOS DE TIERRAS, TRANSPORTES Y MAQUINARIA TERRA NORTE SPA","76103845-1","(111) 111-1111","2024-05-08 15:51:00","2024-05-08 15:51:00"
"162","R&Q INGENIERIA","84.865.000-5","(111) 111-1111","2024-05-10 16:48:50","2024-05-10 16:48:50"
"163","TRICONOS MINEROS","96.961.460-K","(994) 868-0337","2024-05-15 17:46:55","2024-05-15 17:46:55"
"164","RENEL INGENIERIA","15.030.307-9","(111) 111-1111","2024-05-22 20:26:25","2024-05-22 20:26:25"
"165","INGEVAL","76.736.672-8","(111) 111-1111","2024-05-23 10:10:48","2024-05-23 10:10:48"
"166","SRM PUENTE GRUA","76.774.737-3","(111) 111-1111","2024-05-28 15:45:47","2024-05-28 15:45:47"
"167","MANTOVERDE","77.020.457-7","(111) 111-1111","2024-06-06 17:23:45","2024-06-06 17:23:45"
"168","SGS Minerals S.A","98.801.810-8","(111) 111-1111","2024-06-24 16:07:32","2024-06-24 16:07:32"
"169","EQUANS INDUSTRIAL SPA","88.689.100-8","(111) 111-1111","2024-07-01 18:12:05","2024-07-01 18:12:05"
"170","PACKMATIC","76.072.205-7","(569) 777-9064","2024-07-03 18:48:06","2024-07-03 18:48:06"
"171","Transportes Bello","88.397.100-0","(569) 777-9064","2024-07-23 11:45:34","2024-07-23 11:45:34"
"172","CAPSTONE COPPER","77.233.325-0","(569) 990-0990","2024-08-06 13:30:55","2024-08-06 13:30:55"
"173","Vortex Servicios e Inversiones Limitada","77.233.325-0","(569) 841-6790","2024-08-06 13:46:39","2024-08-06 13:46:39"
"174","KNIGHT PIESOLD","96.680.350-9","(562) 259-4640","2024-08-20 18:27:12","2024-08-20 18:27:12"
"175","HUALPEN","76.750.560-4","(569) 623-9620","2024-08-21 16:37:41","2024-08-21 16:37:41"
"176","AGUNSA","96.566.940-K","(569) 685-2674","2024-09-03 19:33:01","2024-09-03 19:33:01"
"178","PREIN CHILE","77.764.140-9","(111) 111-1111","2024-09-12 13:47:53","2024-09-12 13:47:53"
"179","TRES60","18.747.515-5","(123) 455-6789","2024-09-26 17:07:09","2024-09-26 17:07:09"
"180","Mutual de Seguridad Asesorías S.A","96.783.880-2","(111) 111-1111","2024-10-02 12:14:39","2024-10-02 12:14:39"
"181","WORLD SURVEY SERVICES S.A.","96.947.280-5","(111) 111-1111","2024-10-10 13:24:09","2024-10-10 13:24:09"
"182","CIFUENTES Y CIA LTDA (SRM PUENTE GRUAS)","76.774.737-3","(111) 111-1111","2024-10-14 16:35:26","2024-10-14 16:35:26"
"183","Guillermo Lagos Fuentes","8.035.316-2","(111) 111-1111","2024-10-14 18:09:50","2024-10-14 18:09:50"
"184","SUAC SOLUTIONS SpA","76.865.368-2","(111) 111-1111","2024-10-19 15:59:45","2024-10-19 15:59:45"
"185","KAESER COMPRESORES DE CHILE SPA"," 77.152.830-9","(111) 111-1111","2024-10-22 17:14:10","2024-10-22 17:14:10"
"186","HEXAGON MINING LTDA.","76.015.699-k","(999) 246-4817","2024-10-24 09:34:34","2024-10-24 09:34:34"
"187","PROMET SERVICIOS SPA","96.853.940-k","(111) 111-1111","2024-10-28 12:28:29","2024-10-28 12:28:29"
"188","INACAL SA","76.115.484-2","(111) 111-1111","2024-10-28 12:49:27","2024-10-28 12:49:27"
"189","Autorentas del Pacifico SPA","83.547.100-4","(111) 111-1111","2024-10-30 10:23:22","2024-10-30 10:23:22"
"190","VERASAY (INACAL)","76.303.840-8","(111) 111-1111","2024-11-04 15:13:38","2024-11-04 15:13:38"
"191","DINTEC","77.095.293-k","(111) 111-1111","2024-11-06 15:36:47","2024-11-06 15:36:47"
"193","Recon Drilling","77.634.636-5","(111) 111-1111","2024-11-20 18:29:13","2024-11-20 18:29:13"
"194","AUSENCO CHILE LTDA","78.727.440-4","(111) 111-1111","2024-11-20 19:05:35","2024-11-20 19:05:35"
"195","Russell Mineral Equipment S.A","99.572.320-4","(111) 111-1111","2024-12-04 12:19:17","2024-12-04 12:19:17"
"196","Superex S.A","11.669.178-7","(111) 111-1111","2024-12-16 14:57:35","2024-12-16 14:57:35"
"197","Tcon Chile Limitada","76.638.375-0","(111) 111-1111","2024-12-30 11:44:35","2024-12-30 11:44:35"
"198","IMH Solutyons","77.083.885-1","(111) 111-1111","2025-01-24 15:38:43","2025-01-24 15:38:43"
"199","INCOVALL","76.511.747-K","(569) 261-9918","2025-01-27 11:22:41","2025-01-27 11:22:41"
"200","Soluciones ambientales del norte S.A.","76.849.990-k","(999) 999-9999","2025-01-29 18:28:06","2025-01-29 18:28:06"
"201","SOCIEDAD TRANSPORTES E INVERSIONES VINARA LTDA","76.324.888-7","(111) 111-1111","2025-02-04 18:54:14","2025-02-04 18:54:14"
"202","Hidroatacama","76.227.065-k","(956) 371-7879","2025-02-18 18:16:00","2025-02-18 18:16:00"
"203","Konecranes Chile SpA","76.126.252-1","(111) 111-1111","2025-03-17 11:34:08","2025-03-17 11:34:08"
"204","TCON CHILE LTDA","76.638.375-0","(111) 111-1111","2025-03-17 12:43:20","2025-03-17 12:43:20"
"205","LINKPROJECTS","96.858.730-7","(111) 111-1111","2025-03-18 15:08:54","2025-03-18 15:08:54"
"206","Metxxo Chile Ltda","76.591.074-9","(111) 111-1111","2025-04-08 22:38:28","2025-04-08 22:38:28"
"207","ACM INGENIERIA INDUSTRIAL Y CLIMATIZACION SPA","76.466.825-0","(111) 111-1111","2025-04-13 19:57:44","2025-04-13 19:57:44"
"208","ZEPEDA Y VECCIOLA Y CIA. LTDA.","78.560.030-4","(111) 111-1111","2025-04-24 16:38:07","2025-04-24 16:38:07"
"209","GEODETEC INGENIERIA SPA","76.872.320-6","(111) 111-1111","2025-04-30 11:23:01","2025-04-30 11:23:01"
"210","Ingeniería y Servicios Julio Arancibia Ramos E.I.R.L.","76.177.333-K","(999) 999-9999","2025-05-12 21:23:16","2025-05-12 21:23:16"
"211","KATECS Y COMPAÑÍA SPA","76.267.420-3","(696) 832-2799","2025-05-12 21:52:46","2025-05-12 21:52:46"
"212","FLSMIDTH MINERALS S.A.","89664200-6","(111) 111-1111","2025-05-14 16:26:05","2025-05-14 16:26:05"
"213","Tec-ionic Durban S.A","76.109.374-6","(111) 111-1111","2025-05-19 15:29:16","2025-05-19 15:29:16"
"214","PROYECTOS Y SUMINISTRO INDUSTRIALES LTDA.","76.402.535-0","(999) 999-9999","2025-05-20 14:17:05","2025-05-20 14:17:05"
"215","RID INGENIERIA SPA","77.744.755-6","(999) 999-9999","2025-05-20 14:25:25","2025-05-20 14:25:25"
"216","AGQ LABS","96.964.370-7","(999) 999-9999","2025-06-04 11:30:27","2025-06-04 11:30:27"
"218","Asistec SA","78.192.120-3","(111) 111-1111","2025-06-09 15:58:49","2025-06-09 15:58:49"
"219","SANTO DOMINGO","1.111.111-1","(111) 111-1111","2025-06-09 16:03:40","2025-06-09 16:03:40"
"220","Vardor SPA","77.906.689-4","(111) 111-1111","2025-06-11 10:47:37","2025-06-11 10:47:37"
"221","Inverex","78.403.920-k","(999) 999-9999","2025-06-12 13:34:58","2025-06-12 13:34:58"
"222","Enoc Ingenieria SpA","77.806.282-8","(111) 111-1111","2025-06-18 12:01:28","2025-06-18 12:01:28"
"223","INSPECCION Y CERTIFICACION BBF LTDA","76.428.790-8","(111) 111-1111","2025-06-24 11:44:13","2025-06-24 11:44:13"
"224","SISTEMA DE TRANSMISIÓN DEL NORTE S.A.","76.410.374-2","(600) 401-5009","2025-06-26 11:46:31","2025-06-26 11:46:31"
"225","VALTECK","76.591.503-1","(569) 388-7818","2025-06-26 12:08:44","2025-06-26 12:08:44"
"226","Water Minerals Ingenieria SPA","77.494.555-5","(111) 111-1111","2025-07-02 14:46:15","2025-07-02 14:46:15"
"227","JVOLT","76.791.016-9","(569) 344-7711","2025-07-02 17:50:51","2025-10-06 16:59:01"
"228","NORTHTEK INGENIERIA LIMITADA","76.696.269-6","(960) 599-4345","2025-07-03 10:08:16","2025-07-03 10:08:16"
"229","Inamar Izaje SpA","92.975.000-4","(222) 495-9000","2025-07-03 13:07:08","2025-07-03 13:07:08"
"230","VOLTTA INGENIERIA ELECTRICA SPA","76.233.999-4","(569) 984-2234","2025-07-30 17:17:22","2025-07-30 17:17:22"
"231","LUIS HUMBERTO ALBORNOZ PERALTA TRANSPORTE SPA","78.030.655-6","(693) 324-5123","2025-08-18 11:48:04","2025-08-18 11:48:04"
"232","SERVIALL SOCIEDAD ANONIMA","76.035.324-8","(569) 738-6490","2025-08-25 11:47:16","2025-08-25 11:47:16"
"233","TRANSPORTES SANTA MARIA","79.705.390-2","(997) 377-1856","2025-08-25 13:24:19","2025-08-25 13:24:19"
"234","Precisión Servicio SpA","96.525.710-1","(994) 749-1388","2025-08-25 14:01:08","2025-08-25 14:01:08"
"235","MACEP LTDA","76.191.470-7","(569) 757-9005","2025-08-25 14:55:38","2025-08-25 14:55:38"
"236","IT TRANSPORTES S.A.","76.091.703-6","(022) 784-3810","2025-08-25 15:24:01","2025-08-25 15:24:01"
"237","ESR SERVICIOS","76.956.630-9","(967) 532-8430","2025-08-25 15:29:31","2025-08-25 15:29:31"
"238","Servicios Mineros Tecnipak Ltda ","76.266.409-7","(224) 965-6000","2025-08-26 18:34:57","2025-08-26 18:34:57"
"239","Linde Gas Chile S.A.","90.100.000-k","(800) 800-2342","2025-08-27 12:31:35","2025-08-27 12:31:35"
"240","MINERAL DRILLING SPA","76.128.865-2","(698) 639-6377","2025-09-04 11:46:59","2025-09-04 11:46:59"
"241","Moinco ingeniería Spa","77.789.862-0","(961) 394-6370","2025-09-10 13:44:36","2025-09-10 13:44:36"
"242","OH INVERSIONES Y SERVICIOS SpA","76.543.658-3","(111) 111-1111","2025-09-12 12:00:33","2025-09-12 12:00:33"
"243","GOHE INVERSIONES SPA","77.196.779-5","(111) 111-1111","2025-09-22 18:37:17","2025-09-22 18:37:17"
"244","Fundición Talleres Ltda","99.532.410-5","(111) 111-1111","2025-09-22 18:42:48","2025-09-22 18:42:48"
"245","NORTHTEK INGENIERÍA","76.696.269-6","(999) 999-9999","2025-10-14 12:22:20","2025-10-14 12:22:20"
"246","SERPRAM","96.799.790-0","(562) 352-6100","2025-10-20 14:12:45","2025-10-20 14:12:45"
"247","FRANCISCO CAYO ALVINO","8.468.228-4","(997) 793-0740","2025-10-20 15:19:13","2025-10-20 15:19:13"
"248","ASITEL","16.109.130-8","(942) 492-4720","2025-11-04 09:24:06","2025-11-04 09:24:06"
"249","Ingenieria de Proteccion LTDA","89.722.200-0","(111) 111-1111","2025-11-04 22:39:49","2025-11-04 22:39:49"
"250","Constructora Precon S.A","93.740.000-4","(111) 111-1111","2025-11-10 18:44:55","2025-11-10 18:44:55"
"251","Sociedad Comercial Rodrigo Urbano SPA","76.920.615-9","(111) 111-1111","2025-11-10 20:20:10","2025-11-10 20:20:10"
"252","Climbers SPA","76.438.121-1","(597) 141-0142","2025-11-17 16:45:26","2025-11-17 16:45:26"
"253","Ingeniería de Protección SpA","89.722.200-0","(111) 111-1111","2025-11-17 19:26:28","2025-11-17 19:26:28"
"254","Cbb Cales S.A","96.718.010-6","(111) 111-1111","2025-11-26 13:53:27","2025-11-26 13:53:27"
"255","Geosinergia Ingeniería y Medio Ambiente Ltda","77.836.810-2","(222) 343-5350","2025-12-10 15:50:15","2025-12-10 15:50:15"
"256","Punto y Red Eirl","77.290.344-8","(111) 111-1111","2025-12-15 12:01:32","2025-12-15 12:01:32"
"257","Transportes Ilzauspe"," 78.782.700-4","(569) 620-6533","2025-12-15 17:24:56","2025-12-15 17:24:56"
"258","Mantoverde Proyectos","88.888-5","(111) 111-1111","2025-12-23 17:55:37","2025-12-23 17:55:37"
"259","SIMPLEX TECNOLOGIA Y SERVICIOS SPA","76.528.807-K","(111) 111-1111","2025-12-23 18:00:52","2025-12-23 18:00:52"
"260","NORTELAB SPA","76.552.532-2","(111) 111-1111","2026-01-13 16:22:25","2026-01-13 16:22:25"
"261","Tecnasic","96.917.120-1","(562) 483-3800","2026-01-14 14:10:16","2026-01-14 14:10:16"
